country,code,region,income_gp,population,HCW,Dx_consortium
Niger,NER,Sub-Saharan Africa,LIC,23310715,19326.91169,Yes
Nigeria,NGA,Sub-Saharan Africa,LMIC,200963599,491794.3383,Yes
North Macedonia,MKD,Europe & Central Asia,UMIC,2083459,16869.53384,Yes
Norway,NOR,Europe & Central Asia,HIC,5347896,150201.6312,
Oman,OMN,Middle East & North Africa,HIC,4974986,43663.74991,
Pakistan,PAK,South Asia,LMIC,216565318,569252.3024,Yes
Palau,PLW,East Asia & Pacific,HIC,18008,139.055937,Yes
Panama,PAN,Latin America & Caribbean,HIC,4246439,17092.29495,
Papua New Guinea,PNG,East Asia & Pacific,LMIC,8776109,10821.3939,Yes
Paraguay,PRY,Latin America & Caribbean,UMIC,7044636,22860.31569,Yes
Peru,PER,Latin America & Caribbean,UMIC,32510453,130045.7869,Yes
Philippines,PHL,East Asia & Pacific,LMIC,108116615,321771.9198,Yes
Poland,POL,Europe & Central Asia,HIC,37970874,391860.9235,
Portugal,PRT,Europe & Central Asia,HIC,10269417,122675.1377,
Qatar,QAT,Middle East & North Africa,HIC,2832067,25981.69837,
Romania,ROU,Europe & Central Asia,HIC,19356544,227473.8408,Yes
Russia,RUS,Europe & Central Asia,UMIC,144373535,2013159.593,Yes
Rwanda,RWA,Sub-Saharan Africa,LIC,12626950,32414.59349,Yes
Samoa,WSM,East Asia & Pacific,UMIC,197097,679.4320847,Yes
San Marino,SMR,Europe & Central Asia,HIC,33860,591.7727089,
São Tomé & Príncipe,STP,Sub-Saharan Africa,LMIC,215056,867.3723997,Yes
Saudi Arabia,SAU,Middle East & North Africa,HIC,34268528,351963.5403,
Senegal,SEN,Sub-Saharan Africa,LMIC,16296364,8398.408372,Yes
Serbia,SRB,Europe & Central Asia,UMIC,6944975,97920.16628,Yes
Seychelles,SYC,Sub-Saharan Africa,HIC,97625,756.0351967,Yes
Sierra Leone,SLE,Sub-Saharan Africa,LIC,7813215,12292.04238,Yes
Singapore,SGP,East Asia & Pacific,HIC,5703569,65342.62935,
Slovakia,SVK,Europe & Central Asia,HIC,5454073,74154.77865,
Slovenia,SVN,Europe & Central Asia,HIC,2087946,31238.52413,
Somalia,SOM,Sub-Saharan Africa,LIC,15442905,7895.01546,Yes
South Africa,ZAF,Sub-Saharan Africa,UMIC,58558270,348777.6171,Yes
South Sudan,SSD,Sub-Saharan Africa,LIC,11062113,4528.464026,Yes
Spain,ESP,Europe & Central Asia,HIC,47076781,610781.975,
Sri Lanka,LKA,South Asia,LMIC,21803000,86708.67211,Yes
St. Kitts & Nevis,KNA,Latin America & Caribbean,HIC,52834,426.2061355,Yes
St. Lucia,LCA,Latin America & Caribbean,UMIC,182790,670.6852,Yes
St. Vincent & Grenadines,VCT,Latin America & Caribbean,UMIC,110589,471.1530423,Yes
Sudan,SDN,Sub-Saharan Africa,LIC,42813238,82133.09497,Yes
Suriname,SUR,Latin America & Caribbean,UMIC,581363,3540.457168,Yes
Sweden,SWE,Europe & Central Asia,HIC,10285453,211563.7992,
Switzerland,CHE,Europe & Central Asia,HIC,8574832,202063.1461,
Syria,SYR,Middle East & North Africa,LIC,17070135,80674.75046,Yes
Taiwan,TWN,East Asia & Pacific,HIC,,,
Tajikistan,TJK,Europe & Central Asia,LIC,9321018,73855.52242,Yes
Tanzania,TZA,Sub-Saharan Africa,LMIC,58005463,58938.1023,Yes
Thailand,THA,East Asia & Pacific,UMIC,69625582,364904.97,Yes
Timor-Leste,TLS,East Asia & Pacific,LMIC,1293119,4108.714964,Yes
Togo,TGO,Sub-Saharan Africa,LIC,8082366,9847.967106,Yes
Trinidad & Tobago,TTO,Latin America & Caribbean,HIC,1394973,10767.7298,Yes
Tunisia,TUN,Middle East & North Africa,LMIC,11694719,60880.80937,Yes
Turkey,TUR,Europe & Central Asia,UMIC,83429615,470454.5168,Yes
Uganda,UGA,Sub-Saharan Africa,LIC,44269594,68357.15869,Yes
Ukraine,UKR,Europe & Central Asia,LMIC,44385155,504153.9539,Yes
United Arab Emirates,ARE,Middle East & North Africa,HIC,9770529,120905.7312,
United Kingdom,GBR,Europe & Central Asia,HIC,66834405,1028834.136,
United States,USA,North America,HIC,328239523,5112142.34,
Uruguay,URY,Latin America & Caribbean,HIC,3461734,37400.09034,
Uzbekistan,UZB,Europe & Central Asia,LMIC,33580650,518385.4311,Yes
Vanuatu,VUT,East Asia & Pacific,LMIC,299882,847.9661495,Yes
Venezuela,VEN,Latin America & Caribbean,UMIC,28515829,110734.1125,Yes
Vietnam,VNM,East Asia & Pacific,LMIC,96462106,261104.1097,Yes
Palestinian Territories,PSE,Middle East & North Africa,LMIC,4685306,6069.15166,Yes
Yemen,YEM,Middle East & North Africa,LIC,29161922,41715.18584,Yes
Zambia,ZMB,Sub-Saharan Africa,LMIC,17861030,28955.28092,Yes
Zimbabwe,ZWE,Sub-Saharan Africa,LMIC,14645468,34994.33507,Yes
Vatican City,,Europe & Central Asia,HIC,803,,
Western Sahara ,,Middle East & North Africa,LMIC,614679,,
